id	character	word_id
1	一	29009
2	一	29420
3	下	29420
4	子	29420
5	一	33721
6	乾	33721
7	二	33721
8	淨	33721
9	一	37726
10	事	37726
11	無	37726
12	成	37726
13	一	37738
14	五	37738
16	十	37738
17	一	29209
18	些	29209
19	一	37690
20	併	37690
21	一	29207
22	共	29207
23	一	31437
24	再	31437
25	一	30065
26	切	30065
27	一	42543
28	動	42543
29	也	42543
30	不	42543
32	一	29419
33	半	29419
34	一	33729
35	口	33729
36	氣	33729
37	一	30377
38	同	30377
39	一	31435
40	向	31435
41	一	37734
42	味	37734
43	一	42599
44	團	42599
45	糟	42599
46	一	29628
47	塊	29628
48	一	37729
49	塌	37729
50	糊	37729
51	塗	37729
52	一	42536
53	塵	42536
54	不	42536
55	染	42536
56	一	37739
57	夕	37739
58	一	31434
59	天	31434
60	到	31434
61	晚	31434
62	一	37720
63	如	37720
64	一	29206
65	定	29206
66	一	42570
67	屁	42570
68	股	42570
69	一	37693
70	帆	37693
71	風	37693
72	順	37693
73	一	42611
74	席	42611
75	之	42611
76	地	42611
77	一	31426
78	帶	31426
79	一	37692
80	度	37692
81	一	42613
82	廂	42613
83	情	42613
84	願	42613
85	一	37686
86	律	37686
87	一	37743
88	心	37743
89	一	37744
90	心	37744
92	意	37744
93	一	42621
94	意	42621
95	孤	42621
96	行	42621
97	一	42537
98	成	42537
99	不	42537
100	變	42537
101	一	37727
102	手	37727
103	一	42552
104	技	42552
105	之	42552
106	長	42552
107	一	42569
108	拍	42569
109	即	42569
110	合	42569
111	一	42586
112	掃	42586
113	而	42586
114	空	42586
115	一	42623
116	擁	42623
117	而	42623
118	上	42623
119	一	42530
120	敗	42530
121	塗	42530
122	地	42530
123	一	42605
124	文	42605
125	不	42605
126	值	42605
127	一	31428
128	方	31428
129	面	31428
130	一	31431
131	旁	31431
132	一	33720
133	旦	33720
134	一	33748
135	早	33748
136	一	31433
137	時	31433
138	一	29627
139	會	29627
140	一	29011
141	月	29011
142	一	42601
143	望	42601
144	無	42601
145	際	42601
146	一	42627
147	朝	42627
148	一	42531
149	本	42531
150	正	42531
151	經	42531
152	一	37696
153	概	37696
154	一	33736
155	模	33736
157	樣	33736
158	一	29210
159	樣	29210
160	一	42577
161	氣	42577
162	呵	42577
163	成	42577
164	一	33734
165	流	33734
166	一	33738
167	清	33738
168	二	33738
169	楚	33738
170	一	42564
171	溜	42564
172	煙	42564
173	一	37736
174	無	37736
175	所	37736
176	有	37736
177	一	42609
178	無	42609
179	所	42609
180	獲	42609
181	一	37737
182	無	37737
183	所	37737
184	知	37737
185	一	42608
186	無	42608
187	是	42608
188	處	42608
189	一	31432
190	生	31432
191	一	42545
192	發	42545
193	不	42545
194	可	42545
195	收	42545
196	拾	42545
197	一	42568
198	目	42568
199	了	42568
200	然	42568
201	一	29421
202	直	29421
203	一	42626
204	眨	42626
205	眼	42626
206	一	42631
207	知	42631
208	半	42631
209	解	42631
210	一	42606
211	窩	42606
212	蜂	42606
213	一	42578
214	竅	42578
215	不	42578
216	通	42578
217	一	42541
218	等	42541
219	一	42538
220	籌	42538
221	莫	42538
222	展	42538
223	一	42598
224	統	42598
225	一	42594
226	絲	42594
227	不	42594
228	苟	42594
229	一	42600
230	網	42600
231	打	42600
232	盡	42600
233	一	42588
234	聲	42588
235	令	42588
236	下	42588
237	一	42532
238	臂	42532
239	之	42532
240	力	42532
241	一	33750
242	致	33750
243	一	37704
244	舉	37704
245	一	37706
246	舉	37706
248	動	37706
249	一	37705
250	舉	37705
251	兩	37705
252	得	37705
253	一	30064
254	般	30064
255	一	31425
256	般	31425
257	來	31425
258	說	31425
259	一	33714
260	般	33714
261	而	33714
262	言	33714
263	一	42566
264	落	42566
265	千	42566
266	丈	42566
267	一	42553
268	見	42553
269	鍾	42553
270	情	42553
271	一	42591
272	視	42591
273	同	42591
274	仁	42591
275	一	42616
276	言	42616
278	行	42616
279	一	37697
280	貫	37697
281	一	42635
282	走	42635
283	了	42635
284	之	42635
285	一	29010
286	起	29010
287	一	37711
288	路	37711
289	一	37687
290	路	37687
291	順	37687
292	風	37687
293	一	42558
294	蹶	42558
295	不	42558
296	振	42558
297	一	33731
298	連	33731
299	一	33732
300	連	33732
301	串	33732
302	一	30376
303	邊	30376
304	兒	30376
305	一	42628
306	針	42628
307	見	42628
308	血	42628
309	一	31438
310	陣	31438
311	子	31438
312	一	42624
313	隅	42624
314	一	42529
315	頭	42529
316	霧	42529
317	水	42529
318	一	42622
319	飲	42622
320	而	42622
321	盡	42622
322	一	37732
323	體	37732
324	一	42567
325	鳴	42567
326	驚	42567
327	人	42567
328	一	29208
329	點	29208
330	一	37691
331	點	37691
333	滴	37691
334	一	37718
335	齊	37718
336	丁	34737
337	七	28941
338	七	36391
339	嘴	36391
340	八	36391
341	舌	36391
342	丈	33897
343	丈	31479
344	夫	31479
345	三	28953
346	三	41294
347	國	41294
348	演	41294
349	義	41294
350	三	41296
351	思	41296
352	三	29581
353	明	29581
354	治	29581
355	三	36636
356	更	36636
357	半	36636
358	夜	36636
359	三	31238
360	角	31238
361	形	31238
362	三	36639
363	言	36639
364	兩	36639
365	語	36639
366	三	41293
367	部	41293
368	曲	41293
369	上	28954
370	上	36692
372	下	36692
374	上	33105
375	下	33105
376	上	41345
377	乘	41345
378	上	36691
379	任	36691
380	上	33099
381	升	33099
382	上	28955
383	午	28955
384	上	33104
385	台	33104
386	上	33102
387	司	33102
388	上	41340
389	吊	41340
390	上	36696
391	天	36696
392	上	36682
393	好	36682
394	上	29586
395	學	29586
396	上	41351
397	尉	41351
398	上	33100
399	市	33100
400	上	31245
401	帝	31245
402	上	29791
403	床	29791
404	上	36700
405	揚	36700
406	上	41346
407	昇	41346
408	上	36702
409	映	36702
410	上	41347
411	書	41347
412	上	41352
413	校	41352
414	上	36688
415	流	36688
416	上	36703
417	游	36703
418	上	33106
419	演	33106
420	上	41354
421	漲	41354
422	上	29584
423	班	29584
424	上	30499
425	班	30499
426	族	30499
427	上	33096
428	當	33096
429	上	33107
430	癮	33107
431	上	36687
432	空	36687
433	上	41338
434	策	41338
435	上	36683
436	級	36683
437	上	29585
438	網	29585
439	上	41337
440	蒼	41337
441	上	31247
442	街	31247
443	上	30005
444	衣	30005
445	上	36695
446	訴	36695
447	上	29164
448	課	29164
449	上	36689
450	路	36689
451	上	33101
452	述	33101
453	上	36686
454	進	36686
455	上	33103
456	鎖	33103
457	上	36690
458	門	36690
459	上	41355
460	陣	41355
461	下	29193
462	下	42166
463	人	42166
464	下	33533
465	令	33533
466	下	42160
467	凡	42160
468	下	33532
469	列	33532
470	下	42162
471	功	42162
472	夫	42162
473	下	28996
474	午	28996
475	下	33537
476	台	33537
477	下	42169
478	嚥	42169
479	下	33529
480	場	33529
481	下	37363
482	屬	37363
483	下	33528
484	巴	33528
485	下	42158
486	廚	42158
487	下	37366
488	意	37366
489	識	37366
490	下	37362
