id	sentence	english	created_at
633	我去買杯綠茶。	I'm going to buy a cup of green tea.	2026-06-29 01:22:45
634	他今天沒開車。	He didn't drive today.	2026-06-29 01:22:45
635	你的筆電在哪？	Where is your laptop?	2026-06-29 01:22:45
636	我們一起加油。	Let's work hard together.	2026-06-29 01:22:45
637	這支手機很好用。	This phone is very useful.	2026-06-29 01:22:45
638	捷運站就在附近。	The MRT station is just nearby.	2026-06-29 01:22:45
639	我想去夜市逛逛。	I want to stroll around the night market.	2026-06-29 01:22:45
640	請問你要喝什麼？	Excuse me, what do you want to drink?	2026-06-29 01:22:45
641	明天天氣會很好。	The weather will be great tomorrow.	2026-06-29 01:22:45
642	他是我的好朋友。	He is my good friend.	2026-06-29 01:22:45
643	我不喜歡吃太甜。	I don't like things too sweet.	2026-06-29 01:22:45
644	禮拜六你要加班嗎？	Do you have to work overtime this Saturday?	2026-06-29 01:22:45
645	這家店的甜點很好吃。	This shop's dessert is delicious.	2026-06-29 01:22:45
646	我待會要去倒垃圾。	I'm going to take out the trash in a bit.	2026-06-29 01:22:45
647	今天的風真的很大。	The wind today is really strong.	2026-06-29 01:22:45
648	你知道高鐵站怎麼走嗎？	Do you know how to get to the HSR station?	2026-06-29 01:22:45
649	我忘記今天有開會了。	I forgot there was a meeting today.	2026-06-29 01:22:45
650	請幫我拿一下外送。	Please grab my food delivery for me.	2026-06-29 01:22:45
651	台灣的春天天氣很不穩定。	Taiwan's spring weather is very unstable.	2026-06-29 01:22:45
652	我想去便利商店買茶葉蛋。	I want to buy tea eggs at the convenience store.	2026-06-29 01:22:45
653	這杯珍奶要記得去冰。	Remember to make this pearl milk tea no-ice.	2026-06-29 01:22:45
654	他每天晚上都去健身房。	He goes to the gym every night.	2026-06-29 01:22:45
655	你有吃過這家的滷肉飯嗎？	Have you tried this place's braised pork rice?	2026-06-29 01:22:45
656	聽說這部電影非常感人。	I heard this movie is very touching.	2026-06-29 01:22:45
657	我今天忘記帶悠遊卡出門。	I forgot to bring my EasyCard out today.	2026-06-29 01:22:45
658	媽媽正在廚房裡面做晚餐。	Mom is cooking dinner in the kitchen.	2026-06-29 01:22:45
659	如果你要出門記得帶雨傘。	If you go out, remember an umbrella.	2026-06-29 01:22:45
660	這條路一直走就會到車站。	Go straight down this road to reach the station.	2026-06-29 01:22:45
661	我禮拜天習慣睡到十一點。	I usually sleep until 11 on Sundays.	2026-06-29 01:22:45
662	請問這附近有便宜的飯店嗎？	Is there a cheap hotel nearby?	2026-06-29 01:22:45
663	你今天看起來好像有點累。	You look a bit tired today.	2026-06-29 01:22:45
664	我最喜歡跟朋友一起吃火鍋。	I love eating hot pot with friends most.	2026-06-29 01:22:45
665	這家手搖飲的珍珠很Q。	This shop's bubble tea pearls are nice and chewy.	2026-06-29 01:22:45
666	姊姊下個月要回台灣看外公。	My sister returns to Taiwan next month to see grandpa.	2026-06-29 01:22:45
667	有空的話我們可以一起去喝咖啡。	If you're free, we can go for coffee.	2026-06-29 01:22:45
668	他開車的時候不喜歡別人說話。	He doesn't like people talking while he drives.	2026-06-29 01:22:45
669	你知道這張卡片要怎麼用嗎？	Do you know how to use this card?	2026-06-29 01:22:45
670	我打算明天下午去圖書館看書。	I plan to read at the library tomorrow afternoon.	2026-06-29 01:22:45
671	昨晚風太大把陽台衣服吹走了。	Last night's wind blew the balcony clothes away.	2026-06-29 01:22:45
672	請問這裡坐公車去夜市要多久？	How long is the bus from here to the night market?	2026-06-29 01:22:45
673	我不小心把剛買的飲料打破了。	I accidentally broke the drink I just bought.	2026-06-29 01:22:45
674	台灣的夜市有很多好吃的小吃。	Taiwan's night markets have lots of tasty snacks.	2026-06-29 01:22:45
675	哥哥上個月買了一輛新的機車。	My brother bought a new scooter last month.	2026-06-29 01:22:45
676	你今天晚上想要吃麵還是吃飯？	Noodles or rice tonight?	2026-06-29 01:22:45
677	我在辦公室門口等了你半個小時。	I waited half an hour for you at the office door.	2026-06-29 01:22:45
678	他雖然很忙但是每天都會運動。	Though busy, he exercises every day.	2026-06-29 01:22:45
679	如果下大雨的話我們就改天再去。	If it pours, we'll go another day.	2026-06-29 01:22:45
680	這本書的內容很有意思，推薦你看。	This book is interesting; I recommend it.	2026-06-29 01:22:45
681	我家狗每到吃飯時間就會一直叫。	My dog barks nonstop at mealtimes.	2026-06-29 01:22:45
682	你可以幫我把這個座位擦乾淨嗎？	Could you wipe this seat clean for me?	2026-06-29 01:22:45
683	這家傳統早餐店的蛋餅很有名。	This breakfast shop's egg crepe is famous.	2026-06-29 01:22:45
684	我今天跟同事一起去吃韓式料理。	I had Korean food with colleagues today.	2026-06-29 01:22:45
685	如果你有不懂的問題可以隨時問我。	Ask me anytime if you don't understand.	2026-06-29 01:22:45
686	他每天下班都要去接小孩子放學。	He picks up his kids after work every day.	2026-06-29 01:22:45
687	捷運上不能吃西瓜也不能喝水。	No eating or drinking on the MRT.	2026-06-29 01:22:45
688	昨天的棒球比賽真的非常精彩。	Yesterday's baseball game was thrilling.	2026-06-29 01:22:45
