id	word	tier	level	category	written_freq	spoken_freq	zhuyin	pinyin	definition	grammar
28851	愛	基礎	第1級	核心詞	535.0	681.0	ㄞˋ	ài	to love, to be fond of, to like, affection, to be inclined (to do sth), to tend to (happen)	verb
28852	吧	基礎	第1級	核心詞	706.0	748.0	˙ㄅㄚ	ba	(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.	particle
28853	八	基礎	第1級	核心詞	214.0	163.0	ㄅㄚ	bā	eight, 8	number
28854	爸爸/爸	基礎	第1級	核心詞	226.0	806.0	ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ	bàba/bà	(coll.) father, dad, CL:個|个[ge4], 位[wei4]	noun
28855	百	基礎	第1級	核心詞	108.0	77.0	ㄅㄞˇ	bǎi	hundred, numerous, all kinds of	number
28856	半	基礎	第1級	核心詞	334.0	279.0	ㄅㄢˋ	bàn	half, semi-, incomplete, (after a number) and a half	number
28857	本	基礎	第1級	核心詞	745.0	368.0	ㄅㄣˇ	běn	root, stem, origin, source, this, the current, original, inherent, originally, classifier for books, periodicals, files etc	classifier
28858	不	基礎	第1級	核心詞	9278.0	8951.0	ㄅㄨˋ	bù	no, not so, (bound form) not, un-	adverb
28859	茶	基礎	第1級	10.餐飲、烹飪	89.0	449.0	ㄔㄚˊ	chá	tea, tea plant, CL:杯[bei1], 壺|壶[hu2]	noun
28860	車子/車	基礎	第1級	核心詞	275.0	320.0	ㄔㄜ ˙ㄗ / ㄔㄜ	chēzi/chē	car or other vehicle (bicycle, truck etc)	noun
28861	吃	基礎	第1級	核心詞	668.0	1438.0	ㄔ	chī	to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer (shock, injury, defeat etc)	verb
28862	吃飯	基礎	第1級	核心詞	60.0	140.0	ㄔ ㄈㄢˋ	chīfàn	to have a meal, to eat, to make a living	verb
28863	打	基礎	第1級	核心詞	352.0	364.0	ㄉㄚˇ	dǎ	to beat, to strike, to hit, to break, to type, to mix up, to build, to fight, to fetch, to make, to tie up, to issue, to shoot, to calculate, to play (a game), since, from	verb
28864	大	基礎	第1級	核心詞	2110.0	2859.0	ㄉㄚˋ	dà	big, large, great, older (than another person), eldest (as in 大姐[da4 jie3]), greatly, freely, fully, (dialect) father, (dialect) uncle (father's brother)	adjective
28865	大家	基礎	第1級	核心詞	464.0	1712.0	ㄉㄚˋ ㄐㄧㄚ	dàjiā	everyone, influential family, great expert	pronoun
28866	大學	基礎	第1級	8.教育、學習	380.0	219.0	ㄉㄚˋ ㄒㄩㄝˊ	dàxué	university, college, CL:所[suo3]	noun
28867	帶	基礎	第1級	核心詞	450.0	684.0	ㄉㄞˋ	dài	band, belt, girdle, ribbon, tire, area, zone, region, CL:條|条[tiao2], to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise	noun
28868	到	基礎	第1級	核心詞	2297.0	3229.0	ㄉㄠˋ	dào	to reach, to arrive, to leave for, to go to, to (a place), until (a time), up to (a point), (verb complement indicating arriving at a place or reaching a point), considerate, thoughtful, thorough	preposition
28869	的	基礎	第1級	核心詞	62002.0	62578.0	ㄉㄜ˙	de	of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis), also pr. [di4] or [di5] in poetry and songs	particle
28870	點	基礎	第1級	核心詞	479.0	684.0	ㄉㄧㄢˇ	diǎn	point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[geng1], dot stroke in Chinese characters, classifier for items	noun
28871	電話	基礎	第1級	核心詞	167.0	72.0	ㄉㄧㄢˋ ㄏㄨㄚˋ	diànhuà	telephone, CL:部[bu4], phone call, CL:通[tong1], phone number	noun
28872	弟弟/弟	基礎	第1級	核心詞	96.0	88.0	ㄉㄧˋ ˙ㄉㄧ / ㄉㄧˋ	dìdi/dì	younger brother, CL:個|个[ge4], 位[wei4]	noun
28873	東西	基礎	第1級	核心詞	561.0	1120.0	ㄉㄨㄥ ˙ㄒㄧ	dōngxi	thing, stuff, person, CL:個|个[ge4], 件[jian4]	noun
28874	都	基礎	第1級	核心詞	4645.0	7029.0	ㄉㄡ	dōu	all, both, entirely, (used for emphasis) even, already, (not) at all	adverb
28875	對	基礎	第1級	核心詞	3485.0	5883.0	ㄉㄨㄟˋ	duì	right, correct, towards, at, for, concerning, regarding, to treat (sb a certain way), to face, (bound form) opposite, facing, matching, to match together, to adjust, to fit, to suit, to answer, to reply, to add, to pour in (a fluid), to check, to compare, classifier: couple, pair	preposition
28876	對不起	基礎	第1級	6.社交、人際	37.0	65.0	ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ	duìbùqǐ	I'm sorry, excuse me, I beg your pardon, to let (sb) down, to disappoint	interjection
28877	多	基礎	第1級	核心詞	1236.0	1594.0	ㄉㄨㄛ	duō	many, much, too many, in excess, (after a numeral) ... odd, how (to what extent) (Taiwan pr. [duo2]), (bound form) multi-, poly-	adjective
28878	多少	基礎	第1級	核心詞	207.0	272.0	ㄉㄨㄛ ㄕㄠˇ	duōshǎo	number, amount, somewhat	adverb
28879	二	基礎	第1級	核心詞	539.0	227.0	ㄦˋ	èr	two, 2, (Beijing dialect) stupid	number
28880	兒子	基礎	第1級	1.個人資料	277.0	149.0	ㄦˊ ˙ㄗ	érzi	son	noun
28881	分	基礎	第1級	核心詞	225.0	359.0	ㄈㄣ	fēn	to divide, to separate, to distribute, to allocate, to distinguish (good and bad), (bound form) branch of (an organization), sub- (as in 分局[fen1 ju2]), fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute (unit of time), minute (angular measurement unit), a point (in sports or games), 0.01 yuan (unit of money)	verb
28882	高	基礎	第1級	核心詞	496.0	694.0	ㄍㄠ	gāo	high, tall, above average, loud, your (honorific)	adjective
28883	個	基礎	第1級	核心詞	9562.0	20644.0	˙ㄍㄜ	ge	(classifier used before a noun that has no specific classifier), (bound form) individual	classifier
28884	哥哥/哥	基礎	第1級	核心詞	113.0	148.0	ㄍㄜ ˙ㄍㄜ / ㄍㄜ	gēge/gē	older brother, CL:個|个[ge4], 位[wei4]	noun
28885	給	基礎	第1級	核心詞	1039.0	1401.0	ㄍㄟˇ	gěi	to, for, for the benefit of, to give, to allow, to do sth (for sb), (grammatical equivalent of 被), (grammatical equivalent of 把), (sentence intensifier)	preposition
28886	工作	基礎	第1級	3.職業	904.0	994.0	ㄍㄨㄥ ㄗㄨㄛˋ	gōngzuò	to work, (of a machine) to operate, job, work, task, CL:個|个[ge4], 份[fen4], 項|项[xiang4]	verb
28887	國	基礎	第1級	核心詞	256.0	363.0	ㄍㄨㄛˊ	guó	country, nation, state (CL:個|个[ge4]), (bound form) national	noun
28888	孩子	基礎	第1級	核心詞	1345.0	1059.0	ㄏㄞˊ ˙ㄗ	háizi	child	noun
28889	和	基礎	第1級	核心詞	5437.0	2135.0	ㄏㄢˋ / ㄏㄜˊ	hàn/hé	(joining two nouns) and; together with; with (Taiwan pr. [han4]), (math.) sum, to make peace, (sports) to draw, to tie, (bound form) harmonious, (bound form) Japan; Japanese	conjunction
28890	號	基礎	第1級	核心詞	73.0	295.0	ㄏㄠˋ	hào	ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people	noun
28891	好	基礎	第1級	核心詞	1887.0	5853.0	ㄏㄠˇ	hǎo	good, appropriate, proper, all right!, (before a verb) easy to, (before a verb) good to, (before an adjective for exclamatory effect) so, (verb complement indicating completion), (of two people) close, on intimate terms, (after a personal pronoun) hello	adjective
28892	喝	基礎	第1級	核心詞	250.0	296.0	ㄏㄜ	hē	to drink, variant of 嗬[he1]	verb
28893	很	基礎	第1級	核心詞	3068.0	6550.0	ㄏㄣˇ	hěn	(adverb of degree), quite, very, awfully	adverb
28894	後	基礎	第1級	核心詞	1593.0	891.0	ㄏㄡˋ	hòu	back, behind, rear, afterwards, after, later, post-	direction
28895	話	基礎	第1級	核心詞	589.0	1492.0	ㄏㄨㄚˋ	huà	dialect, language, spoken words, speech, talk, words, conversation, what sb said, CL:種|种[zhong3], 席[xi2], 句[ju4], 口[kou3], 番[fan1]	noun
28896	幾	基礎	第1級	核心詞	963.0	706.0	ㄐㄧˇ	jǐ	how much, how many, several, a few	number
28897	家	基礎	第1級	核心詞	1060.0	1286.0	ㄐㄧㄚ	jiā	home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]	noun
28898	叫	基礎	第1級	核心詞	533.0	570.0	ㄐㄧㄠˋ	jiào	to shout, to call, to order, to ask, to be called, by (indicates agent in the passive mood)	verb
28899	腳	基礎	第1級	核心詞	208.0	178.0	ㄐㄧㄠˇ	jiǎo	foot, leg (of an animal or an object), base (of an object), CL:雙|双[shuang1], 隻|只[zhi1], classifier for kicks	noun
28900	姊姊/姐姐/姊/姐	基礎	第1級	核心詞	108.0	328.0	ㄐㄧㄝˇ ˙ㄐㄧㄝ / ㄐㄧㄝˇ	jiějie/jiě	older sister, Taiwan pr. [jie3 jie5]	noun
28901	今年	基礎	第1級	核心詞	44.0	343.0	ㄐㄧㄣ ㄋㄧㄢˊ	jīnnián	this year	time
28902	今天	基礎	第1級	核心詞	290.0	1071.0	ㄐㄧㄣ ㄊㄧㄢ	jīntiān	today, the present time, now	time
28903	就	基礎	第1級	核心詞	7262.0	16921.0	ㄐㄧㄡˋ	jiù	(after a suppositional clause) in that case, then, (after a clause of action) as soon as, immediately after, (same as 就是[jiu4 shi4]) merely, nothing else but, simply, just, precisely, exactly, only, as little as, as much as, as many as, to approach, to move towards, to undertake, to engage in, (often followed by 著|着[zhe5]) taking advantage of, (of food) to go with, with regard to, concerning, (pattern: 就[jiu4] ... 也[ye3] ...) even if ... still ..., (pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...	adverb
28904	久	基礎	第1級	核心詞	276.0	293.0	ㄐㄧㄡˇ	jiǔ	(long) time, (long) duration of time	time
28905	九	基礎	第1級	核心詞	138.0	82.0	ㄐㄧㄡˇ	jiǔ	nine, 9	number
28906	咖啡	基礎	第1級	10.餐飲、烹飪	55.0	89.0	ㄎㄚ ㄈㄟ	kāfēi	coffee (loanword), CL:杯[bei1]	noun
28907	看	基礎	第1級	核心詞	1808.0	3076.0	ㄎㄢˋ	kàn	to see, to look at, to read, to watch, to visit, to call on, to consider, to regard as, to look after, to treat (a patient or illness), to depend on, to feel (that), (after a verb) to give it a try, to watch out for	verb
28908	可能	基礎	第1級	核心詞	1124.0	1522.0	ㄎㄜˇ ㄋㄥˊ	kěnéng	might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個|个[ge4]	adverb
28909	可以	基礎	第1級	核心詞	2312.0	4257.0	ㄎㄜˇ ㄧˇ	kěyǐ	can, may, possible, able to, not bad, pretty good	adverb
28910	塊	基礎	第1級	核心詞	240.0	542.0	ㄎㄨㄞˋ	kuài	lump, chunk, piece, classifier for pieces of cloth, cake, soap etc, (coll.) classifier for money and currency units	classifier
